Country,Crime Index,Cost of Living Index,Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
Albania,48.15,33.81,7.12,27.33,27.59,43.58
Austria,24.06,66.59,26.15,61.71,62.64,120.46
Belarus,27.57,39.45,13.25,32.44,49.30,39.16
Belgium,45.19,75.44,31.42,67.15,82.87,106.69
Bosnia And Herzegovina,42.46,34.59,5.83,29.77,24.07,60.64
Bulgaria,41.42,36.36,8.45,30.90,29.89,59.19
Croatia,29.51,48.20,9.71,40.68,37.57,67.89
Czech Republic,32.06,41.80,14.45,36.51,28.34,89.88
Denmark,25.67,84.88,30.83,69.20,97.88,142.14
Estonia,24.67,48.94,13.50,38.50,44.13,77.42
Finland,28.12,75.25,26.98,66.59,76.85,132.93
France,44.06,75.30,26.22,69.62,73.48,118.51
Germany,32.95,65.54,24.01,53.12,60.68,147.61
Greece,38.46,54.40,9.51,44.75,55.07,79.27
Hungary,41.93,41.29,10.54,33.18,30.75,56.30
Iceland,29.89,96.45,35.45,91.40,98.82,93.98
Ireland,48.39,78.03,37.87,66.59,82.30,125.66
Italy,46.22,68.77,21.49,58.64,75.27,105.67
Latvia,37.79,47.14,12.67,36.25,40.45,61.46
Lithuania,43.15,45.56,12.45,37.32,35.42,61.25
Luxembourg,36.03,82.01,48.87,69.16,90.33,154.40
Macedonia,38.02,31.05,5.92,26.14,21.17,46.74
Malta,26.73,61.36,20.23,51.89,66.63,82.77
Moldova,48.16,25.70,7.12,20.38,18.64,32.04
Montenegro,47.80,39.49,9.20,31.77,35.84,52.50
Netherlands,31.47,72.12,31.76,56.11,80.73,129.34
Norway,30.11,99.80,37.04,93.27,110.77,125.75
Poland,31.41,38.53,13.54,30.76,31.71,80.77
Portugal,35.13,49.83,15.28,40.58,41.56,75.47
Romania,29.72,34.80,8.63,28.79,29.17,61.90
Russia,47.31,38.48,17.13,32.22,42.05,57.42
Serbia,43.28,33.56,6.69,25.77,25.64,49.62
Slovakia,33.49,45.00,14.98,40.59,31.81,68.80
Slovenia,26.27,52.19,14.71,42.78,42.78,89.76
Spain,31.77,56.11,18.86,46.02,56.99,105.31
Sweden,43.12,75.70,25.21,67.89,79.18,128.22
Switzerland,25.73,123.10,55.14,123.86,119.14,178.74
Ukraine,48.62,28.56,9.47,22.43,22.75,29.66
United Kingdom,43.13,81.03,36.29,68.48,86.68,120.00
